accno,pval,lfc,description,psort_loc
A0A376NIF8,0.0065,0.69,Protein YceI OS=Escherichia coli OX=562 GN=yceI PE=3 SV=1 UPId=UP000254405 PPId=UP000000625,Unknown
A0A2B7LJY8,0.0039,0.67,Ribosome-associated inhibitor A OS=Escherichia marmotae OX=1499973 GN=raiA PE=4 SV=1 UPId=UP000254454 PPId=UP000000625,Cytoplasmic
A0A2X1LIJ9,0.016,0.5,RNA polymerase-binding transcription factor OS=Escherichia coli OX=562 GN=dksA_2 PE=4 SV=1 UPId=UP000250561 PPId=UP000000625,Cytoplasmic
AAG55076.1,1e-4,0.54,periplasmic protein involved in the tonb-independent uptake of group A colicins [Escherichia coli O157:H7 str. EDL933],Periplasmic
AAG56576.1,0.05,0.7,"putative oxidoreductase, Fe-S subunit [Escherichia coli O157:H7 str. EDL933]",Unknown
AAG54483.1,0.025,0.54,UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
A0A376TF05,0.0054,0.51,Protein YdgH OS=Escherichia coli OX=562 GN=ydgH_2 PE=4 SV=1 UPId=UP000254405 PPId=UP000000625,Unknown
AAG54454.1,2.1e-4,0.54,"outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 [Escherichia coli O157:H7 str. EDL933]",OuterMembrane
AAG58448.1,1e-4,-0.84,"30S ribosomal subunit protein S7, initiates assembly [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG58088.1,1e-4,-0.54,periplasmic L-asparaginase II [Escherichia coli O157:H7 str. EDL933],Periplasmic
AAG55092.1,1e-4,0.74,molybdate-binding periplasmic protein; permease [Escherichia coli O157:H7 str. EDL933],Periplasmic
A0A1E3N634,0.0027,0.53,Fe/S biogenesis protein NfuA OS=Shigella sp. FC569 OX=1892897 GN=nfuA PE=3 SV=1 UPId=UP000094766 PPId=UP000000625,Cytoplasmic
AAG59396.1,0.049,0.86,30S ribosomal subunit protein S6 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG58131.1,0.0036,-0.57,"probable large subunit, hydrogenase-2 [Escherichia coli O157:H7 str. EDL933]",CytoplasmicMembrane
AAG54911.1,1e-4,0.54,oxygen-insensitive NAD(P)H nitroreductase [Escherichia coli O157:H7 str. EDL933],Unknown
AAG58688.1,1e-4,0.86,dipeptide transport protein [Escherichia coli O157:H7 str. EDL933],Periplasmic
A0A1D3KQB7,0.025,-0.53,Putative rhodanase-like exported protein OS=Escherichia coli OX=562 GN=yibN PE=4 SV=1 UPId=UP000095528 PPId=UP000000625,Unknown
AAG59207.1,1e-4,0.58,isocitrate lyase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
A0A376RJQ7,0.0065,0.54,"Alanine racemase, catabolic OS=Escherichia coli OX=562 GN=dadX_2 PE=4 SV=1 UPId=UP000254159 PPId=UP000000625",Cytoplasmic
AAG59354.1,2.1e-4,-0.85,"fumarate reductase, anaerobic, iron-sulfur protein subunit [Escherichia coli O157:H7 str. EDL933]",CytoplasmicMembrane
AAG54776.1,1e-4,0.5,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
A0A376VE31,0.0039,-1.3,"1,4-alpha-glucan branching enzyme GlgB OS=Escherichia coli OX=562 GN=glgB PE=3 SV=1 UPId=UP000254495 PPId=UP000000625",Cytoplasmic
AAG59425.1,0.0039,-0.6,putative LACI-type transcriptional regulator [Escherichia coli O157:H7 str. EDL933],Periplasmic
AAG54480.1,1e-4,-0.72,"histone-like protein, located in outer membrane or nucleoid [Escherichia coli O157:H7 str. EDL933]",Periplasmic
AAG56771.1,1e-4,0.64,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",OuterMembrane
AAG58051.1,1e-4,-0.5,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG58417.1,1e-4,-0.71,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
EDZ77431.1,1e-4,-0.56,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [Escherichia coli O157:H7 str. EC4206],Periplasmic
A0A2X3LM07,0.0065,0.8,Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli OX=562 GN=glpD_2 PE=4 SV=1 UPId=UP000250991 PPId=UP000000625,Cytoplasmic
AAG57102.1,0.0039,0.56,putative UDP-galactose 4-epimerase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
A0A0H3JCD7,0.0039,0.69,Reductase OS=Escherichia coli O157:H7 OX=83334 GN=ECs_0338 PE=4 SV=1 UPId=UP000000558 PPId=UP000000625,Cytoplasmic
A0A376SRV0,0.037,-0.53,D-alanine--D-alanine ligase OS=Escherichia coli OX=562 GN=ddlA PE=3 SV=1 UPId=UP000254180 PPId=UP000000625,Cytoplasmic
AAG58415.1,3.5e-4,-0.8,50S ribosomal subunit protein L17 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG58320.1,0.0065,-0.52,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG57892.1,1e-4,-0.67,enolase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
A0A2X1J5F1,3.5e-4,-0.64,PTS system subunit IIABC OS=Escherichia coli OX=562 GN=mtlA_2 PE=4 SV=1 UPId=UP000250561 PPId=UP000000625,CytoplasmicMembrane
AAG55839.1,2.2e-4,-0.87,3-oxoacyl-[acyl-carrier-protein] reductase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG54629.1,0.012,0.65,hypothetical protein Z0372 [Escherichia coli O157:H7 str. EDL933],Unknown
AAG54803.1,3.5e-4,-0.77,glycoprotein/polysaccharide metabolism [Escherichia coli O157:H7 str. EDL933],Periplasmic
AAG55837.1,0.016,-0.6,3-oxoacyl-[acyl-carrier-protein] synthase III; acetylCoA ACP transacylase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
