GO.ID,Term,Annotated,Significant,Expected,pval,GO_aspect,involved_genes
GO:0009064,glutamine family amino acid metabolic process,10,7,4.21,0.0698,Biological Process,A0A2X1KW44_AAG54334.1_AAG54568.1_AAG54732.1_AAG56732.1_AAG58069.1_AAG59059.1
GO:0045184,establishment of protein localization,12,8,5.05,0.0743,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55378.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0044282,small molecule catabolic process,12,8,5.05,0.0743,Biological Process,A0A2X1KW44_AAG56732.1_AAG57768.1_AAG58031.1_AAG58069.1_BAB36822.1_P0AB77_P0ABQ0
GO:0008104,protein localization,12,8,5.05,0.0743,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55378.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0008610,lipid biosynthetic process,14,9,5.89,0.0768,Biological Process,A0A2X1N8G2_A0A377F6A1_A0A447XY57_AAG55837.1_AAG55839.1_AAG57086.1_AAG59359.1_EEC28047.1_Q83IY3
GO:0006629,lipid metabolic process,18,11,7.57,0.0781,Biological Process,A0A2X1N8G2_A0A377F6A1_A0A447XY57_AAG55837.1_AAG55839.1_AAG57086.1_AAG59017.1_AAG59359.1_BAB36822.1_EEC28047.1_Q83IY3
GO:1902494,catalytic complex,23,14,8.55,0.014,Cellular Component,AAG54772.1_AAG57892.1_AAG58031.1_AAG58688.1_AAG59127.1_AAG59234.1_B7UMJ3_BAB35166.2_EEC28047.1_P09152_P0A698_P0AFG6_P11349_P33599
GO:0042597,periplasmic space,19,12,7.07,0.015,Cellular Component,A0A376J8A3_A0A377E3G0_AAG54545.1_AAG55230.1_AAG55242.1_AAG55378.1_AAG55867.1_AAG56729.1_AAG59268.1_B7LR81_P03841_S0WRD1
GO:0031224,intrinsic component of membrane,30,16,11.16,0.041,Cellular Component,A0A348DVE5_A0A376KPJ3_A0A376L1P2_A0A377KEH0_AAG55001.1_AAG58412.1_AAG58688.1_AAG59234.1_AAG59371.1_AYV41625.1_B7UMJ3_BAB35166.2_BAB36707.1_ENO10059.1_I2S1S5_KIQ46661.1
GO:0016021,integral component of membrane,30,16,11.16,0.041,Cellular Component,A0A348DVE5_A0A376KPJ3_A0A376L1P2_A0A377KEH0_AAG55001.1_AAG58412.1_AAG58688.1_AAG59234.1_AAG59371.1_AYV41625.1_B7UMJ3_BAB35166.2_BAB36707.1_ENO10059.1_I2S1S5_KIQ46661.1
GO:0003824,catalytic activity,375,172,160.61,0.017,Molecular Function,A0A0K5ZKA2_A0A0P7NDI9_A0A243ZPE4_A0A2W6P998_A0A2X1KW44_A0A2X1L0P6_A0A2X1LA40_A0A2X1N4E9_A0A2X1N8G2_A0A2X1NIU9_A0A2X1PIL3_A0A2X2HDN1_A0A2X3LM07_A0A370VBX1_A0A370YF59_A0A376J8A3_A0A376KPJ3_A0A376L926_A0A376MMV1_A0A376NT53_A0A376RJY7_A0A376TDD3_A0A376TJ72_A0A376TSD2_A0A376TW77_A0A376UWS2_A0A376VE31_A0A376VVL2_A0A376VZ87_A0A376W2B1_A0A376W8P8_A0A376ZWZ2_A0A377A1A6_A0A377B6S2_A0A377C3N1_A0A377CBW0_A0A377D5D3_A0A377E3G0_A0A377F6A1_A0A377K2C6_A0A3L0VWE5_A0A3L4KP74_A0A3Q0MSX9_A0A447XY57_AAC70085.1_AAG54334.1_AAG54399.1_AAG54437.1_AAG54547.1_AAG54568.1_AAG54686.1_AAG54732.1_AAG54772.1_AAG54787.1_AAG54818.1_AAG54911.1_AAG54985.1_AAG55001.1_AAG55007.1_AAG55048.1_AAG55253.1_AAG55413.1_AAG55449.1_AAG55830.1_AAG55837.1_AAG55839.1_AAG56041.1_AAG56270.1_AAG56367.1_AAG56599.1_AAG56600.1_AAG56639.1_AAG56732.1_AAG56751.1_AAG57175.1_AAG57285.1_AAG57410.1_AAG57533.1_AAG57635.1_AAG57644.1_AAG57665.1_AAG57768.1_AAG57892.1_AAG58035.1_AAG58069.1_AAG58073.1_AAG58131.1_AAG58147.1_AAG58497.1_AAG58754.1_AAG58934.1_AAG58981.1_AAG59017.1_AAG59027.1_AAG59041.1_AAG59059.1_AAG59119.1_AAG59127.1_AAG59203.1_AAG59234.1_AAG59268.1_AAG59331.1_AAG59359.1_AAG59375.1_AAG59432.1_AAG59443.1_AAG59562.1_AAG59563.1_ACI36849.1_ACI39814.1_AYV42970.1_B7LR81_BAB36822.1_BAB36977.1_EEC28047.1_ENO07364.1_ENO09153.1_ENO09415.1_ENO09459.1_EYX07613.1_EZA71028.1_EZA73021.1_EZA75034.1_EZC37061.1_F3WIS0_I6CAN6_I6CHA2_P00370_P00582_P04805_P04825_P05055_P05791_P07118_P09152_P0A698_P0A705_P0A867_P0A8N5_P0A991_P0A9G6_P0A9M0_P0AB77_P0AB89_P0ABH9_P0ABQ0_P0AC53_P0AC86_P0AES4_P0AFG3_P0AFG6_P11349_P11875_P17169_P23865_P24171_P25553_P27298_P27302_P32176_P33570_P33599_P35340_PXF68216.1_Q7DBF3_Q7DBF6_Q83IY3_Q8X609_Q8XD27_S0WRD1_W1ETC7_W1EWT2
GO:0016788,"hydrolase activity, acting on ester bonds",23,15,9.85,0.023,Molecular Function,A0A376J8A3_A0A376RJY7_A0A377C3N1_AAG54772.1_AAG55830.1_AAG56270.1_AAG59017.1_AAG59041.1_AAG59375.1_BAB36822.1_P00582_P05055_P07118_P0A698_Q8XD27
GO:0016740,transferase activity,83,43,35.55,0.047,Molecular Function,A0A2X1L0P6_A0A2X1N4E9_A0A2X1N8G2_A0A2X2HDN1_A0A370YF59_A0A376VE31_A0A376W2B1_A0A377CBW0_A0A377K2C6_A0A3L0VWE5_A0A3L4KP74_A0A447XY57_AAG54818.1_AAG55001.1_AAG55413.1_AAG55837.1_AAG55839.1_AAG57533.1_AAG57635.1_AAG57644.1_AAG57665.1_AAG58073.1_AAG58754.1_AAG59027.1_AAG59119.1_AAG59203.1_AAG59443.1_AAG59563.1_ACI39814.1_ENO07364.1_EZA75034.1_P00582_P05055_P0A867_P0AB77_P0AC86_P0AFG6_P17169_P27302_P33570_Q83IY3_Q8X609_W1ETC7
GO:0005515,protein binding,31,18,13.28,0.058,Molecular Function,A0A369ETZ6_A0A376SME8_A0A377F7W2_AAG56094.1_AAG56624.1_AAG58357.1_AAG58501.1_AAG58756.1_BAB36816.1_C8UGD9_ENO09412.1_EZC37061.1_I6CG11_KIQ48029.1_P0A6Z3_P23865_S0WRD1_W1ES56
GO:0016491,oxidoreductase activity,104,52,44.54,0.062,Molecular Function,A0A0K5ZKA2_A0A0P7NDI9_A0A2W6P998_A0A2X1KW44_A0A2X1PIL3_A0A2X3LM07_A0A370YF59_A0A376L926_A0A376MMV1_A0A376TJ72_A0A376TSD2_A0A376UWS2_A0A376W8P8_A0A377A1A6_A0A377E3G0_A0A3Q0MSX9_A0A447XY57_AAC70085.1_AAG54568.1_AAG54732.1_AAG54911.1_AAG55007.1_AAG55048.1_AAG55839.1_AAG56367.1_AAG56639.1_AAG56732.1_AAG56751.1_AAG57285.1_AAG57410.1_AAG57768.1_AAG58131.1_AAG58147.1_AAG59268.1_AYV42970.1_ENO09415.1_ENO09459.1_EZA71028.1_EZC37061.1_F3WIS0_I6CHA2_P00370_P09152_P0AC53_P0AFG3_P11349_P25553_P32176_P33599_P35340_PXF68216.1_Q7DBF6
GO:0016757,"transferase activity, transferring glycosyl groups",10,7,4.28,0.077,Molecular Function,A0A376VE31_A0A3L0VWE5_AAG54818.1_AAG59027.1_AAG59563.1_P0AC86_W1ETC7
